Objekt,Date,Sign,CleaningType,DateTime
BBT 316,2017-05-01,jircec,Lutdisk,2017-05-01 11:38
BBT 325,2017-05-02,normar,Lutdisk,2017-05-02 07:09
BBT 323,2017-05-02,mölpet,Lutdisk,2017-05-02 18:47
BBT 304,2017-05-02,normar,Syradisk,2017-05-02 10:26
BBT 308,2017-05-02,mölpet,Syradisk,2017-05-02 20:22
BBT 315,2017-05-03,jakgun,Lutdisk,2017-05-03 03:28
BBT 305,2017-05-03,karada,Syradisk,2017-05-03 19:27
BBT 314,2017-05-01,jircec,Syradisk,2017-05-01 17:03
BBT 306,2017-05-05,normar,Syradisk,2017-05-05 09:33
BBT 318,2017-05-05,normar,Syradisk,2017-05-05 08:07
BBT 315,2017-05-05,normar,Syradisk,2017-05-05 13:17
BBT 311,2017-05-05,normar,Syradisk,2017-05-05 12:00
BBT 317,2017-05-05,mölpet,Syradisk,2017-05-05 16:00
T45,2017-05-07,jircec,Syradisk,2017-05-07 04:07
BBT 312,2017-05-04,johper,Syradisk,2017-05-04 00:44
Filtret-Veckoavslut,2017-05-07,jircec,Lutsterilning,2017-05-07 04:07
T34,2017-05-07,jircec,Syradisk,2017-05-07 05:09
BBT 313,2017-05-07,mölpet,Syradisk,2017-05-07 18:16
BBT 310,2017-05-07,mölpet,Syradisk,2017-05-07 16:41
BBT 309,2017-05-08,assulf,Syradisk,2017-05-08 07:32
BBT 314,2017-05-08,andhan,Syradisk,2017-05-08 19:46
BBT 324,2017-05-08,normar,Lutdisk,2017-05-08 23:51
BBT 325,2017-05-09,normar,Syradisk,2017-05-09 01:49
BBT 308,2017-05-09,normar,Syradisk,2017-05-09 03:13
BBT 304,2017-05-09,normar,Syradisk,2017-05-09 04:29
BBT 316,2017-05-09,jakgun,Syradisk,2017-05-09 15:54
BBT 318,2017-05-09,jakgun,Syradisk,2017-05-09 18:34
BBT 307,2017-05-09,jakgun,Syradisk,2017-05-09 20:31
BBT 306,2017-05-10,assulf,Syradisk,2017-05-10 11:20
BBT 309,2017-05-11,normar,Syradisk,2017-05-11 01:20
BBT 322,2017-05-11,normar,Syradisk,2017-05-11 05:49
BBT 304,2017-05-11,mårfre,Syradisk,2017-05-11 10:08
BBT 305,2017-05-12,leajon,Syradisk,2017-05-12 00:04
Stora balanssystemet (1),2017-05-12,mårfre,Lutdisk,2017-05-12 12:22
Filtret,2017-05-12,mårfre,Rengjord,2017-05-12 12:24
T34,2017-05-12,mårfre,Syradisk,2017-05-12 12:24
T45,2017-05-12,mårfre,Lutdisk,2017-05-12 12:24
Filtret-Veckoavslut,2017-05-12,mårfre,Lutsterilning,2017-05-12 12:25
Maltax,2017-05-12,mårfre,Rengjord,2017-05-12 12:25
Aldox,2017-05-12,mårfre,Syradisk,2017-05-12 12:26
T34,2017-05-12,mårfre,Lutdisk,2017-05-12 12:26
301 Vattentank,2017-05-12,andhan,Lutdisk,2017-05-12 19:26
303 Vattentank,2017-05-12,andhan,Lutdisk,2017-05-12 19:27
BBT 309,2017-05-12,andhan,Syradisk,2017-05-12 20:44
BBT 315,2017-05-15,assulf,Syradisk,2017-05-15 00:19
BBT 311,2017-05-15,leajon,Lutdisk,2017-05-15 20:01
BBT 318,2017-05-15,jircec,Syradisk,2017-05-15 21:55
BBT 320,2017-05-16,karand,Lutdisk,2017-05-16 11:59
302 Vattentank,2017-05-12,andhan,Lutdisk,2017-05-12 19:27
BBT 321,2017-05-16,karand,Syradisk,2017-05-16 12:00
BBT 317,2017-05-16,karing,Lutdisk,2017-05-16 16:44
BBT 304,2017-05-16,karing,Lutdisk,2017-05-16 18:26
BBT 325,2017-05-17,mårfre,Syradisk,2017-05-17 01:48
BBT 324,2017-05-17,mårfre,Syradisk,2017-05-17 00:05
BBT 322,2017-05-17,karand,Syradisk,2017-05-17 12:04
Filtret,2017-05-17,leajon,Rengjord,2017-05-17 16:00
T34,2017-05-17,leajon,Lutdisk,2017-05-17 15:59
BBT 309,2017-05-18,mölpet,Syradisk,2017-05-18 12:47
BBT 320,2017-05-19,karand,Syradisk,2017-05-19 12:04
BBT 316,2017-05-19,karand,Syradisk,2017-05-19 08:25
BBT 305,2017-05-19,karand,Lutdisk,2017-05-19 14:16
BBT 308,2017-05-19,leajon,Lutdisk,2017-05-19 16:43
T34,2017-05-19,leajon,Syradisk,2017-05-19 23:04
BBT 307,2017-05-18,jircec,Syradisk,2017-05-18 04:15
Maltax,2017-05-19,leajon,Rengjord,2017-05-19 23:04
Aldox,2017-05-20,leajon,Syradisk,2017-05-20 00:37
BBT 312,2017-05-21,leajon,Lutdisk,2017-05-21 12:47
BBT 313,2017-05-21,leajon,Lutdisk,2017-05-21 13:39
BBT 317,2017-05-22,johper,Syradisk,2017-05-22 07:41
T45,2017-05-19,leajon,Syradisk,2017-05-19 23:04
T34,2017-05-22,mårfre,Syradisk,2017-05-22 15:57
BBT 322,2017-05-22,mårfre,Syradisk,2017-05-22 15:58
BBT 306,2017-05-18,jircec,Syradisk,2017-05-18 05:31
BBT 314,2017-05-23,karada,Lutdisk,2017-05-23 03:13
BBT 320,2017-05-23,jakgun,Syradisk,2017-05-23 10:19
BBT 311,2017-05-23,karada,Syradisk,2017-05-23 01:44
Aldox,2017-05-23,jircec,Syradisk,2017-05-23 15:14
BBT 304,2017-05-24,johper,Syradisk,2017-05-24 13:29
T34,2017-05-23,jircec,Syradisk,2017-05-23 16:34
BBT 318,2017-05-24,mårfre,Lutdisk,2017-05-24 15:48
BBT 323,2017-05-23,karada,Syradisk,2017-05-23 00:12
BBT 306,2017-05-25,jircec,Lutdisk,2017-05-25 18:17
BBT 315,2017-05-26,karand,Lutdisk,2017-05-26 01:10
BBT 309,2017-05-28,jircec,Lutdisk,2017-05-28 13:16
BBT 307,2017-05-28,jircec,Lutdisk,2017-05-28 15:12
BBT 318,2017-05-29,andhan,Syradisk,2017-05-29 03:55
BBT 310,2017-05-29,andhan,Lutdisk,2017-05-29 05:18
BBT 323,2017-05-29,normar,Lutdisk,2017-05-29 10:06
BBT 312,2017-05-28,jircec,Syradisk,2017-05-28 11:22
BBT 308,2017-05-29,normar,Syradisk,2017-05-29 13:49
BBT 314,2017-05-30,karand,Syradisk,2017-05-30 16:15
BBT 315,2017-05-29,jakgun,Syradisk,2017-05-29 23:04
BBT 311,2017-05-30,karand,Syradisk,2017-05-30 16:15
BBT 304,2017-05-28,jircec,Syradisk,2017-05-28 17:12
BBT 317,2017-05-30,karand,Syradisk,2017-05-30 18:37
BBT 316,2017-05-30,andhan,Lutdisk,2017-05-30 22:37
BBT 310,2017-05-31,andhan,Syradisk,2017-05-31 04:09
BBT 325,2017-06-01,normar,Lutdisk,2017-06-01 06:02
BBT 312,2017-05-30,jakgun,Syradisk,2017-05-30 04:51
BBT 321,2017-06-01,normar,Lutdisk,2017-06-01 07:45
BBT 324,2017-06-02,andhan,Lutdisk,2017-06-02 03:02
BBT 322,2017-06-01,normar,Lutdisk,2017-06-01 13:04
BBT 315,2017-06-02,normar,Syradisk,2017-06-02 08:27
Filtret-Veckoavslut,2017-06-04,karada,Lutsterilning,2017-06-04 10:47
BBT 313,2017-06-04,karada,Syradisk,2017-06-04 17:05
T34,2017-06-04,karada,Syradisk,2017-06-04 17:12
T45,2017-06-04,karada,Syradisk,2017-06-04 17:12
BBT 316,2017-06-05,karing,Syradisk,2017-06-05 04:12
303 Vattentank,2017-06-02,andhan,Lutdisk,2017-06-02 03:02
T34,2017-06-05,karing,Syradisk,2017-06-05 04:12
Filtret,2017-06-05,karing,Rengjord,2017-06-05 04:13
BBT 309,2017-06-05,assulf,Syradisk,2017-06-05 08:17
BBT 305,2017-06-07,normar,Syradisk,2017-06-07 00:23
BBT 307,2017-06-06,normar,Syradisk,2017-06-06 22:54
BBT 308,2017-06-07,jircec,Syradisk,2017-06-07 08:56
BBT 314,2017-06-07,normar,Syradisk,2017-06-07 04:45
BBT 311,2017-06-07,jircec,Lutdisk,2017-06-07 10:52
BBT 323,2017-06-05,assulf,Syradisk,2017-06-05 05:52
BBT 304,2017-06-07,andhan,Lutdisk,2017-06-07 14:31
BBT 310,2017-06-08,assulf,Syradisk,2017-06-08 07:50
BBT 312,2017-06-07,jircec,Lutdisk,2017-06-07 12:02
BBT 322,2017-06-08,assulf,Syradisk,2017-06-08 09:43
BBT 315,2017-06-08,assulf,Lutdisk,2017-06-08 10:58
Filtret-Veckoavslut,2017-06-09,andhan,Lutsterilning,2017-06-09 23:10
Maltax,2017-06-09,andhan,Rengjord,2017-06-09 23:10
Vattenfilter,2017-06-09,andhan,Syradisk,2017-06-09 23:11
BBT 306,2017-06-07,andhan,Lutdisk,2017-06-07 18:36
Aldox,2017-06-09,andhan,Syradisk,2017-06-09 23:41
BBT 309,2017-06-11,johper,Syradisk,2017-06-11 11:23
T45,2017-06-09,andhan,Dubbeldisk,2017-06-09 23:12
BBT 307,2017-06-11,johper,Syradisk,2017-06-11 13:17
BBT 304,2017-06-11,johper,Syradisk,2017-06-11 17:00
BBT 308,2017-06-11,johper,Lutdisk,2017-06-11 21:25
BBT 318,2017-06-11,mårfre,Lutdisk,2017-06-11 21:56
BBT 325,2017-06-11,mårfre,Syradisk,2017-06-11 23:33
Filtret-Veckoavslut,2017-06-09,andhan,Lutsterilning,2017-06-09 23:16
T34,2017-06-09,andhan,Lutdisk,2017-06-09 23:12
BBT 324,2017-06-11,mårfre,Syradisk,2017-06-11 23:34
BBT 315,2017-06-12,mårfre,Syradisk,2017-06-12 04:40
Filtret,2017-06-12,normar,Rengjord,2017-06-12 15:51
BBT 324,2017-06-12,normar,Syradisk,2017-06-12 19:26
BBT 313,2017-06-12,normar,Lutdisk,2017-06-12 19:27
BBT 319,2017-06-13,jircec,Lutdisk,2017-06-13 01:56
BBT 305,2017-06-13,jircec,Lutdisk,2017-06-13 03:17
BBT 317,2017-06-13,jircec,Lutdisk,2017-06-13 04:19
BBT 314,2017-06-14,jircec,Lutdisk,2017-06-14 02:41
BBT 314,2017-06-14,karand,Syradisk,2017-06-14 07:43
BBT 316,2017-06-14,normar,Syradisk,2017-06-14 15:21
BBT 312,2017-06-14,normar,Syradisk,2017-06-14 19:24
BBT 307,2017-06-15,mölpet,Lutdisk,2017-06-15 13:02
BBT 315,2017-06-14,normar,Syradisk,2017-06-14 20:41
BBT 321,2017-06-16,normar,Syradisk,2017-06-16 21:02
T34,2017-06-18,normar,Syradisk,2017-06-18 13:28
Filtret-Veckoavslut,2017-06-18,normar,Lutsterilning,2017-06-18 13:28
Gamla runtkörningen,2017-06-18,normar,Totaldisk,2017-06-18 13:29
T45,2017-06-18,normar,Syradisk,2017-06-18 14:41
BBT 309,2017-06-18,normar,Lutdisk,2017-06-18 16:27
BBT 311,2017-06-18,normar,Syradisk,2017-06-18 20:27
BBT 318,2017-06-19,karand,Syradisk,2017-06-19 00:28
BBT 322,2017-06-19,karand,Syradisk,2017-06-19 02:15
BBT 308,2017-06-19,andhan,Syradisk,2017-06-19 09:17
BBT 313,2017-06-19,karand,Syradisk,2017-06-19 05:04
BBT 311,2017-06-19,andhan,Syradisk,2017-06-19 11:32
BBT 307,2017-06-19,assulf,Syradisk,2017-06-19 15:51
BBT 317,2017-06-20,mårfre,Syradisk,2017-06-20 14:40
BBT 325,2017-06-21,andhan,Syradisk,2017-06-21 13:03
BBT 319,2017-06-19,assulf,Syradisk,2017-06-19 16:43
BBT 325,2017-06-21,andhan,Lutdisk,2017-06-21 13:04
BBT 306,2017-06-22,mårfre,Syradisk,2017-06-22 16:16
BBT 318,2017-06-21,mölpet,Syradisk,2017-06-21 23:31
BBT 321,2017-06-22,mårfre,Lutdisk,2017-06-22 17:49
BBT 308,2017-06-22,andhan,Syradisk,2017-06-22 07:11
Stora balanssystemet (1),2017-06-22,mårfre,Lutdisk,2017-06-22 19:33
T34,2017-06-22,mårfre,Syradisk,2017-06-22 19:33
Maltax,2017-06-22,mårfre,Rengjord,2017-06-22 19:33
Vattenfilter,2017-06-22,mårfre,Syradisk,2017-06-22 19:34
Lilla balanssystemet (2),2017-06-22,mårfre,Lutdisk,2017-06-22 20:20
BBT 324,2017-06-21,assulf,Syradisk,2017-06-21 16:46
BBT 317,2017-06-25,jakgun,Syradisk,2017-06-25 22:15
BBT 304,2017-06-26,jakgun,Lutdisk,2017-06-26 00:23
BBT 314,2017-06-26,jakgun,Lutdisk,2017-06-26 01:32
BBT 315,2017-06-26,jakgun,Lutdisk,2017-06-26 03:19
BBT 305,2017-06-26,normar,Syradisk,2017-06-26 08:41
BBT 322,2017-06-26,normar,Lutdisk,2017-06-26 09:59
Filtret-Veckoavslut,2017-06-22,mårfre,Lutsterilning,2017-06-22 21:48
BBT 311,2017-06-26,normar,Syradisk,2017-06-26 13:59
BBT 324,2017-06-27,normar,Lutdisk,2017-06-27 11:00
BBT 306,2017-06-27,mölpet,Lutdisk,2017-06-27 20:55
BBT 307,2017-06-27,jakgun,Syradisk,2017-06-27 21:58
BBT 312,2017-06-27,jakgun,Syradisk,2017-06-27 23:30
BBT 323,2017-06-27,normar,Lutdisk,2017-06-27 11:00
BBT 309,2017-06-28,jakgun,Syradisk,2017-06-28 03:30
BBT 316,2017-06-28,jakgun,Lutdisk,2017-06-28 04:05
BBT 325,2017-06-28,normar,Syradisk,2017-06-28 08:31
BBT 310,2017-06-28,augand,Lutdisk,2017-06-28 22:27
BBT 318,2017-06-26,mölpet,Syradisk,2017-06-26 19:01
T45,2017-06-29,augand,Lutdisk,2017-06-29 05:38
T34,2017-06-29,augand,Lutdisk,2017-06-29 05:37
BBT 321,2017-06-29,augand,Lutdisk,2017-06-29 01:39
BBT 322,2017-06-29,normar,Syradisk,2017-06-29 08:35
BBT 319,2017-06-29,normar,Syradisk,2017-06-29 08:36
BBT 313,2017-06-29,jakgun,Syradisk,2017-06-29 23:12
BBT 308,2017-06-30,karand,Syradisk,2017-06-30 18:53
BBT 321,2017-06-30,karand,Syradisk,2017-06-30 23:20
BBT 314,2017-07-02,mölpet,Syradisk,2017-07-02 10:00
BBT 317,2017-07-02,mölpet,Syradisk,2017-07-02 11:58
BBT 325,2017-07-02,mölpet,Syradisk,2017-07-02 13:24
BBT 318,2017-07-02,mölpet,Lutdisk,2017-07-02 17:22
BBT 304,2017-07-03,assulf,Syradisk,2017-07-03 06:33
BBT 305,2017-07-02,mölpet,Syradisk,2017-07-02 16:06
BBT 316,2017-07-03,johper,Syradisk,2017-07-03 15:07
BBT 306,2017-07-03,johper,Syradisk,2017-07-03 20:19
BBT 320,2017-07-04,leajon,Lutdisk,2017-07-04 01:42
BBT 315,2017-07-04,mårfre,Syradisk,2017-07-04 07:10
BBT 324,2017-07-04,leajon,Syradisk,2017-07-04 05:26
BBT 323,2017-07-04,leajon,Syradisk,2017-07-04 02:53
BBT 309,2017-07-04,jakgun,Syradisk,2017-07-04 14:10
BBT 310,2017-07-04,jakgun,Syradisk,2017-07-04 15:48
BBT 311,2017-07-04,jakgun,Lutdisk,2017-07-04 18:12
BBT 322,2017-07-04,jakgun,Syradisk,2017-07-04 21:13
BBT 307,2017-07-05,assulf,Syradisk,2017-07-05 06:46
BBT 309,2017-07-05,assulf,Lutdisk,2017-07-05 12:49
BBT 313,2017-07-06,mårfre,Lutdisk,2017-07-06 07:04
BBT 314,2017-07-06,mårfre,Syradisk,2017-07-06 10:42
Stora balanssystemet (1),2017-07-07,assulf,Lutdisk,2017-07-07 07:23
Kolsyraledning,2017-07-07,assulf,Rengjord,2017-07-07 07:31
Lilla balanssystemet (2),2017-07-07,assulf,Lutdisk,2017-07-07 08:32
T34,2017-07-07,assulf,Syradisk,2017-07-07 09:55
T45,2017-07-07,assulf,Syradisk,2017-07-07 14:50
BBT 314,2017-07-09,jakgun,Syradisk,2017-07-09 10:21
BBT 304,2017-07-10,assulf,Syradisk,2017-07-10 01:13
BBT 312,2017-07-10,normar,Lutdisk,2017-07-10 19:10
BBT 305,2017-07-10,jircec,Lutdisk,2017-07-10 22:50
BBT 308,2017-07-10,jircec,Lutdisk,2017-07-10 23:57
BBT 306,2017-07-11,karand,Syradisk,2017-07-11 12:58
BBT 316,2017-07-11,assulf,Syradisk,2017-07-11 22:02
BBT 315,2017-07-12,mölpet,Syradisk,2017-07-12 12:37
BBT 320,2017-07-12,normar,Syradisk,2017-07-12 16:24
BBT 322,2017-07-12,normar,Syradisk,2017-07-12 17:42
BBT 312,2017-07-12,normar,Syradisk,2017-07-12 20:34
BBT 324,2017-07-13,mölpet,Syradisk,2017-07-13 07:34
BBT 319,2017-07-12,jircec,Lutdisk,2017-07-12 23:04
BBT 317,2017-07-13,mölpet,Lutdisk,2017-07-13 13:09
BBT 314,2017-07-13,leajon,Syradisk,2017-07-13 15:00
BBT 304,2017-07-13,leajon,Lutdisk,2017-07-13 20:29
BBT 309,2017-07-14,assulf,Syradisk,2017-07-14 00:35
Filtret-Veckoavslut,2017-07-14,mölpet,Lutsterilning,2017-07-14 12:52
Filtret,2017-07-14,leajon,Rengjord,2017-07-14 19:17
BBT 307,2017-07-14,leajon,Lutdisk,2017-07-14 21:57
Aldox,2017-07-14,leajon,Syradisk,2017-07-14 23:43
T34,2017-07-15,leajon,Syradisk,2017-07-15 00:49
T45,2017-07-15,leajon,Syradisk,2017-07-15 03:33
BBT 323,2017-07-16,leajon,Lutdisk,2017-07-16 15:43
BBT 317,2017-07-16,leajon,Syradisk,2017-07-16 14:42
BBT 308,2017-07-16,leajon,Syradisk,2017-07-16 21:10
BBT 320,2017-07-17,andhan,Syradisk,2017-07-17 12:58
BBT 317,2017-07-17,jircec,Syradisk,2017-07-17 15:56
BBT 306,2017-07-17,jircec,Syradisk,2017-07-17 14:56
BBT 311,2017-07-17,jircec,Syradisk,2017-07-17 16:24
BBT 324,2017-07-18,johper,Lutdisk,2017-07-18 10:22
BBT 305,2017-07-18,karand,Syradisk,2017-07-18 02:43
BBT 325,2017-07-18,assulf,Lutdisk,2017-07-18 15:50
BBT 315,2017-07-19,karand,Lutdisk,2017-07-19 01:19
BBT 304,2017-07-19,andhan,Syradisk,2017-07-19 06:06
T34,2017-07-19,andhan,Lutdisk,2017-07-19 11:52
BBT 310,2017-07-19,jircec,Syradisk,2017-07-19 13:58
BBT 314,2017-07-20,mölpet,Lutdisk,2017-07-20 00:14
BBT 322,2017-07-19,mölpet,Lutdisk,2017-07-19 22:37
BBT 321,2017-07-20,assulf,Lutdisk,2017-07-20 15:28
BBT 319,2017-07-20,mölpet,Syradisk,2017-07-20 01:44
301 Vattentank,2017-07-21,andhan,Lutdisk,2017-07-21 07:53
Aldox,2017-07-21,andhan,Syradisk,2017-07-21 07:53
Glaskontroll (vecka),2017-07-21,andhan,Genomförd,2017-07-21 08:34
Glaskontroll (månad),2017-07-21,andhan,Genomförd,2017-07-21 08:35
303 Vattentank,2017-07-21,andhan,Lutdisk,2017-07-21 12:01
302 Vattentank,2017-07-21,andhan,Lutdisk,2017-07-21 12:02
Vattenfilter,2017-07-21,jircec,Syradisk,2017-07-21 17:47
Filtret-Veckoavslut,2017-07-21,jircec,Lutsterilning,2017-07-21 17:48
Maltax,2017-07-21,jircec,Rengjord,2017-07-21 17:49
T45,2017-07-21,jircec,Syradisk,2017-07-21 17:49
BBT 321,2017-07-23,assulf,Syradisk,2017-07-23 15:39
BBT 311,2017-07-24,andhan,Syradisk,2017-07-24 00:37
BBT 304,2017-07-23,assulf,Syradisk,2017-07-23 17:56
BBT 308,2017-07-24,andhan,Syradisk,2017-07-24 04:00
Lilla balanssystemet (2),2017-07-21,jircec,Lutdisk,2017-07-21 17:50
Stora balanssystemet (1),2017-07-21,jircec,Lutdisk,2017-07-21 17:50
BBT 320,2017-07-25,normar,Lutdisk,2017-07-25 10:32
BBT 316,2017-07-24,normar,Lutdisk,2017-07-24 13:46
BBT 317,2017-07-24,karand,Syradisk,2017-07-24 19:25
BBT 306,2017-07-24,normar,Lutdisk,2017-07-24 13:47
BBT 305,2017-07-25,mölpet,Syradisk,2017-07-25 15:07
BBT 324,2017-07-25,mölpet,Syradisk,2017-07-25 17:04
BBT 317,2017-07-26,johper,Syradisk,2017-07-26 23:39
BBT 313,2017-07-27,johper,Lutdisk,2017-07-27 00:31
BBT 311,2017-07-26,karing,Lutdisk,2017-07-26 10:01
BBT 310,2017-07-27,johper,Lutdisk,2017-07-27 05:29
BBT 304,2017-07-27,normar,Syradisk,2017-07-27 09:53
BBT 311,2017-07-30,mölpet,Syradisk,2017-07-30 13:32
BBT 307,2017-07-28,andhan,Syradisk,2017-07-28 05:06
BBT 323,2017-07-30,mölpet,Syradisk,2017-07-30 15:25
BBT 310,2017-07-31,normar,Syradisk,2017-07-31 01:18
BBT 320,2017-07-31,normar,Syradisk,2017-07-31 01:18
Filtret-Veckoavslut,2017-07-31,normar,Lutsterilning,2017-07-31 01:20
BBT 308,2017-07-31,normar,Lutdisk,2017-07-31 05:20
BBT 314,2017-07-31,normar,Syradisk,2017-07-31 03:38
BBT 316,2017-07-31,jakgun,Syradisk,2017-07-31 16:02
BBT 305,2017-07-31,jakgun,Lutdisk,2017-07-31 17:55
BBT 322,2017-08-01,normar,Syradisk,2017-08-01 03:17
BBT 315,2017-08-01,normar,Syradisk,2017-08-01 03:17
BBT 313,2017-07-31,mårfre,Syradisk,2017-07-31 09:17
BBT 306,2017-08-01,andhan,Syradisk,2017-08-01 15:31
BBT 314,2017-07-27,mölpet,Syradisk,2017-07-27 17:23
BBT 312,2017-08-02,karing,Lutdisk,2017-08-02 04:35
BBT 325,2017-08-02,jakgun,Lutdisk,2017-08-02 15:37
BBT 309,2017-08-01,andhan,Lutdisk,2017-08-01 19:29
BBT 317,2017-08-02,jakgun,Lutdisk,2017-08-02 17:19
BBT 314,2017-08-03,jircec,Syradisk,2017-08-03 08:37
BBT 304,2017-08-02,jakgun,Lutdisk,2017-08-02 19:51
BBT 324,2017-08-01,andhan,Syradisk,2017-08-01 17:44
BBT 310,2017-08-03,andhan,Lutdisk,2017-08-03 16:41
Gurtank T68,2017-08-04,andhan,Syradisk,2017-08-04 21:52
T45,2017-08-04,mårfre,Lutdisk,2017-08-04 12:23
Gurtank T67,2017-08-04,andhan,Syradisk,2017-08-04 21:52
Gurtank T66,2017-08-04,andhan,Syradisk,2017-08-04 21:53
Gamla runtkörningen,2017-08-04,andhan,Totaldisk,2017-08-04 21:53
Vattenfilter,2017-08-04,andhan,Syradisk,2017-08-04 22:55
T34,2017-08-04,normar,Syradisk,2017-08-04 04:54
BBT 315,2017-08-07,leajon,Lutdisk,2017-08-07 17:55
BBT 305,2017-08-07,leajon,Syradisk,2017-08-07 20:40
BBT 307,2017-08-07,leajon,Lutdisk,2017-08-07 19:29
BBT 306,2017-08-08,jircec,Syradisk,2017-08-08 05:25
BBT 317,2017-08-08,karand,Syradisk,2017-08-08 11:06
BBT 316,2017-08-06,andhan,Lutdisk,2017-08-06 11:09
BBT 318,2017-08-08,karand,Lutdisk,2017-08-08 11:06
BBT 312,2017-08-08,leajon,Syradisk,2017-08-08 15:24
BBT 311,2017-08-08,assulf,Syradisk,2017-08-08 23:24
BBT 308,2017-08-08,assulf,Syradisk,2017-08-08 23:51
BBT 324,2017-08-09,assulf,Lutdisk,2017-08-09 04:09
BBT 316,2017-08-09,assulf,Syradisk,2017-08-09 02:52
BBT 320,2017-08-09,assulf,Syradisk,2017-08-09 05:31
BBT 323,2017-08-09,leajon,Lutdisk,2017-08-09 14:13
BBT 309,2017-08-09,leajon,Syradisk,2017-08-09 15:45
BBT 314,2017-08-10,jircec,Lutdisk,2017-08-10 00:42
BBT 304,2017-08-10,karand,Syradisk,2017-08-10 12:59
BBT 325,2017-08-10,leajon,Syradisk,2017-08-10 15:46
BBT 321,2017-08-11,karand,Lutdisk,2017-08-11 14:36
T45,2017-08-13,leajon,Syradisk,2017-08-13 11:51
T34,2017-08-13,leajon,Syradisk,2017-08-13 11:57
Maltax,2017-08-13,leajon,Rengjord,2017-08-13 11:58
Filtret-Veckoavslut,2017-08-13,leajon,Lutsterilning,2017-08-13 11:57
BBT 307,2017-08-13,leajon,Syradisk,2017-08-13 13:20
BBT 317,2017-08-14,augand,Syradisk,2017-08-14 06:34
BBT 312,2017-08-14,augand,Syradisk,2017-08-14 09:59
BBT 313,2017-08-13,leajon,Syradisk,2017-08-13 19:47
BBT 311,2017-08-14,augand,Lutdisk,2017-08-14 12:09
BBT 315,2017-08-14,augand,Syradisk,2017-08-14 13:18
BBT 318,2017-08-14,mårfre,Syradisk,2017-08-14 21:06
BBT 322,2017-08-15,jakgun,Lutdisk,2017-08-15 09:22
BBT 306,2017-08-15,jakgun,Lutdisk,2017-08-15 11:19
BBT 310,2017-08-15,jakgun,Syradisk,2017-08-15 13:20
BBT 316,2017-08-15,assulf,Syradisk,2017-08-15 18:03
BBT 324,2017-08-15,assulf,Syradisk,2017-08-15 19:31
BBT 323,2017-08-16,augand,Lutdisk,2017-08-16 09:27
BBT 314,2017-08-16,augand,Syradisk,2017-08-16 10:53
BBT 325,2017-08-16,mårfre,Syradisk,2017-08-16 14:21
BBT 320,2017-08-16,mårfre,Lutdisk,2017-08-16 15:44
BBT 321,2017-08-16,mårfre,Lutdisk,2017-08-16 19:43
BBT 305,2017-08-17,assulf,Syradisk,2017-08-17 18:41
T45,2017-08-18,karand,Syradisk,2017-08-18 05:45
T34,2017-08-18,karand,Lutdisk,2017-08-18 02:33
Stora balanssystemet (1),2017-08-18,augand,Lutdisk,2017-08-18 12:20
T34,2017-08-18,augand,Lutdisk,2017-08-18 12:21
T45,2017-08-18,augand,Lutdisk,2017-08-18 12:21
Filtret-Veckoavslut,2017-08-18,augand,Lutsterilning,2017-08-18 12:22
Maltax,2017-08-18,augand,Rengjord,2017-08-18 12:22
Lilla balanssystemet (2),2017-08-18,augand,Lutdisk,2017-08-18 14:04
301 Vattentank,2017-08-18,mårfre,Lutdisk,2017-08-18 16:44
302 Vattentank,2017-08-18,mårfre,Lutdisk,2017-08-18 17:35
Vattenfilter,2017-08-18,mårfre,Syradisk,2017-08-18 19:05
BBT 304,2017-08-20,assulf,Syradisk,2017-08-20 12:57
BBT 313,2017-08-20,assulf,Lutdisk,2017-08-20 14:19
BBT 321,2017-08-20,assulf,Syradisk,2017-08-20 20:34
BBT 306,2017-08-20,andhan,Syradisk,2017-08-20 23:17
BBT 309,2017-08-21,jakgun,Lutdisk,2017-08-21 22:50
BBT 322,2017-08-22,normar,Syradisk,2017-08-22 10:52
BBT 308,2017-08-22,karand,Lutdisk,2017-08-22 18:32
BBT 324,2017-08-24,jakgun,Syradisk,2017-08-24 05:23
BBT 317,2017-08-23,andhan,Syradisk,2017-08-23 00:03
BBT 307,2017-08-24,leajon,Syradisk,2017-08-24 08:31
BBT 323,2017-08-24,leajon,Syradisk,2017-08-24 11:06
BBT 318,2017-08-24,leajon,Syradisk,2017-08-24 13:43
BBT 325,2017-08-24,andhan,Lutdisk,2017-08-24 22:32
BBT 309,2017-08-25,andhan,Lutdisk,2017-08-25 02:06
BBT 312,2017-08-25,andhan,Lutdisk,2017-08-25 00:19
BBT 314,2017-08-25,andhan,Syradisk,2017-08-25 03:35
BBT 320,2017-08-25,normar,Syradisk,2017-08-25 12:38
BBT 305,2017-08-25,normar,Lutdisk,2017-08-25 14:06
T45,2017-08-26,karand,Syradisk,2017-08-26 02:04
Filtret-Veckoavslut,2017-08-27,karand,Lutsterilning,2017-08-27 10:17
BBT 308,2017-08-27,karand,Syradisk,2017-08-27 13:33
BBT 316,2017-08-27,karand,Syradisk,2017-08-27 17:52
BBT 320,2017-08-28,andhan,Syradisk,2017-08-28 14:00
BBT 306,2017-08-28,assulf,Syradisk,2017-08-28 12:42
BBT 311,2017-08-28,andhan,Syradisk,2017-08-28 18:31
